ticker,published_dt,proba_best,entry_date,entry_price,exit_date,exit_price,gross_return,net_return,exit_reason,holding_days
CRCL,2025-07-09,0.7162509034163276,2025-07-10,208.83999633789062,2025-07-16,233.1999969482422,0.1166443259792944,0.1156443259792944,time_exit,7
MODG,2025-07-10,0.7609006636721561,2025-07-11,8.949999809265137,2025-07-17,9.399999618530273,0.05027930936929094,0.04927930936929094,time_exit,7
SIEGY,2025-07-10,0.7141419976245179,2025-07-11,130.83999633789062,2025-07-17,131.19000244140625,0.0026750696523389073,0.0016750696523389072,time_exit,7
TZA,2025-07-10,0.7074237265968653,2025-07-11,10.720000267028809,2025-07-17,10.609999656677246,-0.010261250710029193,-0.011261250710029192,time_exit,7
NXPI,2025-07-11,0.7572598872497538,2025-07-14,227.05999755859375,2025-07-18,225.89999389648438,-0.00510879800309181,-0.00610879800309181,time_exit,5
PTC,2025-07-11,0.7109314651408811,2025-07-14,183.0,2025-07-18,199.61000061035156,0.09076503065765881,0.08976503065765881,time_exit,5
SIRI,2025-07-24,0.7022167092563238,2025-07-25,24.049999237060547,2025-07-31,21.1200008392334,-0.12182945907591057,-0.12282945907591057,time_exit,7
UPS,2025-08-01,0.7548596058431687,2025-08-04,85.4000015258789,2025-08-08,86.66999816894531,0.014871154805325817,0.013871154805325817,time_exit,5
HOG,2025-08-06,0.8445741245195051,2025-08-07,24.450000762939453,2025-08-13,27.440000534057617,0.12229037537087983,0.12129037537087983,time_exit,7
MU,2025-08-06,0.7504326195495014,2025-08-07,114.13999938964844,2025-08-13,124.2699966430664,0.08875063349909809,0.08775063349909809,time_exit,7
ARM,2025-08-07,0.7196156646634535,2025-08-08,136.6699981689453,2025-08-14,140.5500030517578,0.02838958758173255,0.027389587581732548,time_exit,7
RCL,2025-08-08,0.7200438053221826,2025-08-11,300.0,2025-08-15,313.95001220703125,0.04650004069010417,0.04550004069010417,time_exit,5
DOV,2025-08-12,0.7235137588611241,2025-08-13,178.77000427246094,2025-08-19,179.7100067138672,0.005258166464960224,0.004258166464960224,time_exit,7
