ticker,entry_date,entry_price,shares
A,2025-08-20,119.11000061035156,364
MSTR,2025-08-20,344.3699951171875,49
HD,2025-08-20,401.739990234375,110
MRVL,2025-08-20,71.22000122070312,286
A,2025-08-20,119.11000061035156,170
MSTR,2025-08-20,344.3699951171875,23
HD,2025-08-20,401.739990234375,51
MRVL,2025-08-20,71.22000122070312,134
