symbol,qty,side,type,time_in_force,take_profit_price,stop_loss_price,entry_price_est
A,170,buy,market,day,128.64,114.71,119.11000061035156
MSTR,23,buy,market,day,371.92,312.13,344.3699951171875
HD,51,buy,market,day,433.88,387.26,401.739990234375
MRVL,134,buy,market,day,76.92,65.63,71.22000122070312
