Unnamed: 0,return_5d_trade,return_5d_disclosed,win_flag
0,0.06091690780432901,,0
1,0.06091690780432901,,0
2,0.021124476215543364,,0
3,0.03754825335883161,,0
4,0.0057914298558796595,,0
5,0.03037201414694346,,0
6,0.011994023577282409,,0
7,-0.012810359098519575,,1
8,0.012890901798346288,,0
9,,,
10,-0.012651411278072344,,0
11,0.021077115286718406,,1
12,0.02399980322576667,,1
13,0.037945736589863666,,1
14,-0.001914531870718883,,1
15,,,
16,-0.03252543658035878,,1
17,0.12968471279167826,,1
18,0.008618445351669557,,1
19,0.0005193780376262502,,1
20,0.06574111373010116,,1
21,0.014033546276482234,,1
22,0.009959045482625717,,1
23,,,
24,,,
25,0.006167527906080661,,1
26,0.028892243422911745,,1
27,0.015314081547415759,,1
28,0.00033429241901794526,,1
29,0.008800835968638898,,1
30,0.021032433501296355,,1
31,-0.0021537875766705072,,0
32,-0.018880072674365422,,0
33,0.023110442442361823,,1
34,-0.016688008731051363,,1
35,-0.005755342703673061,,0
36,0.012487860840620035,,1
37,-0.001395728225733417,,0
38,0.01516905517776701,,1
39,0.02675234765864265,,1
40,0.01853985227086663,,0
41,-0.015734602219729332,,1
42,,,
43,,,
44,,,
45,0.01075122834194775,,0
46,-0.017367022880451333,,0
47,0.045457796693968655,,1
48,,,
49,0.007263501306574938,,1
50,0.026552416349285846,,0
51,0.1848738645566157,0.028571400767513078,1
52,0.06305337041557313,-0.010356057489008363,1
53,0.03251701013545527,-0.010356057489008363,1
54,0.034907277252384405,0.016142247550541722,1
55,0.034907277252384405,0.016142247550541722,1
56,-0.004055625593837875,0.016142247550541722,0
57,0.034907277252384405,0.016142247550541722,1
58,0.04665478705876214,0.016142247550541722,1
59,-0.004055625593837875,0.016142247550541722,0
60,0.018597027405102384,0.016142247550541722,1
61,-0.015040947258367798,-0.011720982228150878,0
62,-0.015040947258367798,-0.011720982228150878,0
63,-0.008953644344786071,-0.011720982228150878,0
64,-0.008953644344786071,-0.011720982228150878,0
65,0.01791030290770923,-0.011720982228150878,1
66,0.023297747341016306,-0.011720982228150878,1
67,0.023297747341016306,-0.011720982228150878,1
68,0.023297747341016306,-0.011720982228150878,1
69,0.023297747341016306,-0.011720982228150878,1
70,0.01791030290770923,-0.011720982228150878,1
71,0.01791030290770923,-0.011720982228150878,1
72,-0.018313775980127733,0.0035323342760931187,0
73,0.021170389050363614,-0.023075592086099106,1
74,-0.0005114268443890957,0.011000406423641973,0
75,-0.017857126131349377,0.005484499261251052,1
76,0.01195751232464981,0.004714367131497976,1
77,0.023183421179360453,-0.0037335169035249693,1
78,-0.02674477441949874,0.006698667562616389,0
79,0.021124476215543364,0.01350059038516993,1
80,0.021124476215543364,0.01350059038516993,1
81,0.010441454411503237,0.01350059038516993,1
82,0.001582378576541199,0.006295742404858862,1
83,0.001582378576541199,0.006295742404858862,1
84,0.00998449269970414,0.006295742404858862,1
85,0.00998449269970414,0.006295742404858862,1
86,0.02835918318227182,0.006295742404858862,1
87,0.023848149781565242,0.006295742404858862,1
88,0.014513385453405192,0.006295742404858862,1
89,0.014513385453405192,0.006295742404858862,1
90,-0.011095350105139179,0.006295742404858862,0
91,0.00998449269970414,0.006295742404858862,1
92,0.023848149781565242,0.006295742404858862,1
93,-0.04604609414491734,0.05298213940888474,0
94,0.02053981545283623,0.05298213940888474,1
95,0.016835772234526036,-0.01896407456687832,1
96,0.0014266835591754123,,1
97,0.0014266835591754123,,1
98,0.05225676954415248,,1
99,0.05225676954415248,,1
100,0.17215227905391717,,0
101,0.17215227905391717,,0
102,0.17215227905391717,,0
103,0.008241532985286515,0.017031878860777727,0
104,-0.007634193240473319,-0.015397636478314936,0
105,0.030366341579318057,-0.041428556896391355,0
106,-0.04098639249459601,0.01996311896916536,1
107,0.02033902997228365,0.0028233614974264576,1
108,0.052569641609263584,-0.013829151317161337,1
109,0.007045173955576134,0.01581377495958014,0
110,0.09412987142390361,0.07728752493993363,0
111,-0.01617913633734802,0.010251769488530016,1
112,0.0013008427813769874,0.005005340848709405,0
113,-0.00571590423114865,-0.008422825966327374,1
114,-0.025265428174280125,0.0024016612484973887,1
115,,,
116,0.014584287827544395,0.06822185269149994,1
117,0.026810911309001817,0.06822185269149994,1
118,-0.028603540288148266,0.014614863079738694,1
119,0.021744517762397164,0.0028233614974264576,1
120,0.05174750323598376,-0.0669956162857579,1
121,0.02046298480584685,0.022547335132696134,1
122,0.025344221395122934,,0
123,0.026971720663941712,,0
124,0.06248418973032699,,0
125,0.034922794872658924,,1
126,0.06122821817442814,,0
127,0.10580140077788314,,1
128,-0.018260446046363343,,1
129,-0.011676585331324763,,1
130,-0.03784308697456851,,1
131,0.08020275626170004,,0
132,0.05099072739855215,,0
