ticker,proba_best,published_dt,y_true
A,0.9106075179875768,2025-08-12,1
MSTR,0.8046831172112319,2025-08-12,0
HD,0.7644904098186813,2025-08-12,1
MRVL,0.7503891742286697,2025-08-12,0
ANET,0.7336202894656241,2025-08-12,0
AVGO,0.7312213533023829,2025-08-12,0
DOV,0.728534838273057,2025-08-12,1
PYPL,0.7126756149099505,2025-08-12,1
